장바구니번호,회원번호(FK),장바구니구분
300000,120001,0
300001,120002,0
300002,120003,0
300003,120004,0
300004,120005,0
300005,120006,0
300006,110001,0
300007,110002,0
300008,120007,0
300009,110003,0
300010,110004,0
300011,120008,0
300012,120009,0
300013,110005,0
300014,120010,0
300015,110006,0
300016,110007,0
300017,110008,0
300018,110009,0
300019,110010,0
300020,110011,0
300021,110012,0
300022,110013,0
300023,110014,0
300024,110015,0
300025,110016,0
300026,110017,0
300027,110018,0
300028,120011,0
300029,121410,0
300030,120012,0
300031,110019,0
300032,110020,0
300033,110021,0
300034,110022,0
300035,120013,0
300036,110023,0
300037,120014,0
300038,120015,0
300039,110024,0
300040,110025,0
300041,110026,0
300042,120016,0
300043,110027,0
300044,120017,0
300045,110028,0
300046,120018,0
300047,110029,0
300048,120019,0
300049,110030,0
300050,120020,0
300051,120021,0
300052,120022,0
300053,110031,0
300054,110032,0
300055,110033,0
300056,110034,0
300057,120023,0
300058,110035,0
300059,110036,0
300060,120024,0
300061,110037,0
300062,110038,0
300063,110039,0
300064,120025,0
300065,120026,0
300066,110040,0
300067,110041,0
300068,120027,0
300069,120028,0
300070,110042,0
300071,120029,0
300072,120030,0
300073,120031,0
300074,120032,0
300075,110043,0
300076,120033,0
300077,120034,0
300078,110044,0
300079,110045,0
300080,120035,0
300081,110046,0
300082,120036,0
300083,120037,0
300084,110047,0
300085,120038,0
300086,120039,0
300087,110048,0
300088,120040,0
300089,120041,0
300090,120042,0
300091,110049,0
300092,120043,0
300093,120044,0
300094,120045,0
300095,120046,0
300096,110050,0
300097,120047,0
300098,120048,0
300099,120049,0
300100,110051,0
300101,120050,0
300102,120051,0
300103,110052,0
300104,110053,0
300105,120052,0
300106,120053,0
300107,120054,0
300108,110054,0
300109,110055,0
300110,120055,0
300111,120056,0
300112,110056,0
300113,110057,0
300114,120057,0
300115,110058,0
300116,110059,0
300117,120058,0
300118,120059,0
300119,110060,0
300120,120060,0
300121,120061,0
300122,110061,0
300123,120062,0
300124,110062,0
300125,120063,0
300126,110063,0
300127,110064,0
300128,120064,0
300129,110065,0
300130,120065,0
300131,120066,0
300132,120067,0
300133,120068,0
300134,110066,0
300135,110067,0
300136,120069,0
300137,110068,0
300138,120070,0
300139,120071,0
300140,120072,0
300141,120073,0
300142,120074,0
300143,120075,0
300144,121437,0
300145,110069,0
300146,120076,0
300147,110070,0
300148,110071,0
300149,120077,0
300150,120078,0
300151,120079,0
300152,120080,0
300153,120081,0
300154,110072,0
300155,110073,0
300156,120082,0
300157,110074,0
300158,110075,0
300159,120083,0
300160,120084,0
300161,110076,0
300162,120085,0
300163,110077,0
300164,120086,0
300165,110078,0
300166,120087,0
300167,110079,0
300168,110080,0
300169,110081,0
300170,121424,0
300171,120088,0
300172,110082,0
300173,120089,0
300174,110083,0
300175,120090,0
300176,110084,0
300177,120091,0
300178,110085,0
300179,120092,0
300180,120093,0
300181,120094,0
300182,110086,0
300183,110087,0
300184,120095,0
300185,120096,0
300186,110088,0
300187,110089,0
300188,110090,0
300189,110091,0
300190,110092,0
300191,120097,0
300192,110093,0
300193,120098,0
300194,110094,0
300195,110095,0
300196,120099,0
300197,110096,0
300198,110097,0
300199,110098,0
300200,120100,0
300201,110099,0
300202,110100,0
300203,110101,0
300204,120101,0
300205,120102,0
300206,120103,0
300207,120104,0
300208,110102,0
300209,120105,0
300210,110103,0
300211,120106,0
300212,110104,0
300213,120107,0
300214,110105,0
300215,120108,0
300216,120109,0
300217,120110,0
300218,120111,0
300219,110106,0
300220,110107,0
300221,110108,0
300222,110109,0
300223,110110,0
300224,110111,0
300225,120112,0
300226,120113,0
300227,110112,0
300228,110113,0
300229,120114,0
300230,120115,0
300231,120116,0
300232,110114,0
300233,110115,0
300234,120117,0
300235,110116,0
300236,120118,0
300237,120119,0
300238,110117,0
300239,110118,0
300240,110119,0
300241,120120,0
300242,110120,0
300243,120121,0
300244,110121,0
300245,121500,0
300246,120122,0
300247,120123,0
300248,110122,0
300249,120124,0
300250,120125,0
300251,121490,0
300252,110123,0
300253,120126,0
300254,110124,0
300255,110125,0
300256,120127,0
300257,110126,0
300258,110127,0
300259,120128,0
300260,120129,0
300261,110128,0
300262,110129,0
300263,120130,0
300264,120131,0
300265,110130,0
300266,110131,0
300267,110132,0
300268,110133,0
300269,110134,0
300270,110135,0
300271,110136,0
300272,110137,0
300273,120132,0
300274,120133,0
300275,110138,0
300276,110139,0
300277,120134,0
300278,120135,0
300279,110140,0
300280,110141,0
300281,110142,0
300282,110143,0
300283,120136,0
300284,120137,0
300285,110144,0
300286,120138,0
300287,120139,0
300288,110145,0
300289,110146,0
300290,121432,0
300291,110147,0
300292,110148,0
300293,110149,0
300294,110150,0
300295,120140,0
300296,110151,0
300297,110152,0
300298,110153,0
300299,120141,0
300300,120142,0
